date,low_1_time,low_1_height_m,low_2_time,low_2_height_m,high_1_time,high_1_height_m,high_2_time,high_2_height_m,sunrise,sunset
2022-09-24,11:24,1.38,23:47,1.13,05:08,6.35,17:22,6.67,07:09,19:14
2022-09-25,11:56,1.06,,,05:40,6.65,17:53,6.92,07:11,19:12
2022-09-26,00:18,0.89,12:28,0.84,06:12,6.88,18:25,7.09,07:12,19:10
2022-09-27,00:49,0.74,13:01,0.72,06:44,7.02,18:58,7.17,07:14,19:08
2022-09-28,01:23,0.7,13:36,0.73,07:16,7.05,19:33,7.14,07:15,19:05
2022-09-29,,,,,,,,,,
2022-09-30,,,,,,,,,,
2022-10-01,,,,,,,,,,
2022-10-02,,,,,,,,,,
2022-10-03,,,,,,,,,,
2022-10-04,,,,,,,,,,
2022-10-05,,,,,,,,,,
2022-10-06,,,,,,,,,,
2022-10-07,,,,,,,,,,
2022-10-08,,,,,,,,,,
2022-10-09,,,,,,,,,,
2022-10-10,,,,,,,,,,
2022-10-11,,,,,,,,,,
2022-10-12,,,,,,,,,,
2022-10-13,,,,,,,,,,
2022-10-14,,,,,,,,,,
2022-10-15,,,,,,,,,,
2022-10-16,,,,,,,,,,
2022-10-17,,,,,,,,,,
2022-10-18,,,,,,,,,,
2022-10-19,,,,,,,,,,
2022-10-20,,,,,,,,,,
2022-10-21,,,,,,,,,,
2022-10-22,,,,,,,,,,
2022-10-23,,,,,,,,,,
2022-10-24,,,,,,,,,,
2022-10-25,,,,,,,,,,
2022-10-26,,,,,,,,,,
2022-10-27,,,,,,,,,,
2022-10-28,,,,,,,,,,
2022-10-29,,,,,,,,,,
2022-10-30,,,,,,,,,,
2022-10-31,,,,,,,,,,
2022-11-01,,,,,,,,,,
2022-11-02,,,,,,,,,,
2022-11-03,,,,,,,,,,
2022-11-04,,,,,,,,,,
2022-11-05,,,,,,,,,,
2022-11-06,09:47,1.32,22:08,1.11,03:25,6.5,15:42,6.84,07:19,16:48
2022-11-07,10:25,1.15,22:42,1.04,04:05,6.74,16:22,6.96,07:21,16:47
2022-11-08,10:59,1.09,23:15,1.07,04:40,6.85,16:58,6.97,07:22,16:45
2022-11-09,11:31,1.14,23:46,1.17,05:15,6.87,17:32,6.88,07:24,16:44
2022-11-10,12:04,1.27,,,05:47,6.81,18:05,6.72,07:26,16:42
2022-11-11,,,,,,,,,,
2022-11-12,,,,,,,,,,
2022-11-13,,,,,,,,,,
2022-11-14,,,,,,,,,,
2022-11-15,,,,,,,,,,
2022-11-16,,,,,,,,,,
2022-11-17,,,,,,,,,,
2022-11-18,,,,,,,,,,
2022-11-19,,,,,,,,,,
2022-11-20,,,,,,,,,,
2022-11-21,,,,,,,,,,
2022-11-22,,,,,,,,,,
2022-11-23,,,,,,,,,,
2022-11-24,,,,,,,,,,
2022-11-25,,,,,,,,,,
2022-11-26,,,,,,,,,,
2022-11-27,,,,,,,,,,
2022-11-28,,,,,,,,,,
2022-11-29,,,,,,,,,,
2022-11-30,,,,,,,,,,
2022-12-01,,,,,,,,,,
2022-12-02,,,,,,,,,,
2022-12-03,,,,,,,,,,
2022-12-04,,,,,,,,,,
2022-12-05,,,,,,,,,,
2022-12-06,,,,,,,,,,
2022-12-07,,,,,,,,,,
2022-12-08,,,,,,,,,,
2022-12-09,,,,,,,,,,
2022-12-10,,,,,,,,,,
2022-12-11,,,,,,,,,,
2022-12-12,,,,,,,,,,
2022-12-13,,,,,,,,,,
2022-12-14,,,,,,,,,,
2022-12-15,,,,,,,,,,
2022-12-16,,,,,,,,,,
2022-12-17,,,,,,,,,,
2022-12-18,,,,,,,,,,
2022-12-19,,,,,,,,,,
2022-12-20,,,,,,,,,,
2022-12-21,,,,,,,,,,
2022-12-22,,,,,,,,,,
2022-12-23,,,,,,,,,,
2022-12-24,,,,,,,,,,
2022-12-25,,,,,,,,,,
2022-12-26,,,,,,,,,,
2022-12-27,,,,,,,,,,
2022-12-28,,,,,,,,,,
2022-12-29,,,,,,,,,,
2022-12-30,,,,,,,,,,
2022-12-31,,,,,,,,,,
2023-01-01,,,,,,,,,,
2023-01-02,,,,,,,,,,
2023-01-03,,,,,,,,,,
2023-01-04,,,,,,,,,,
2023-01-05,,,,,,,,,,
2023-01-06,,,,,,,,,,
2023-01-07,,,,,,,,,,
2023-01-08,,,,,,,,,,
2023-01-09,,,,,,,,,,
2023-01-10,,,,,,,,,,
2023-01-11,,,,,,,,,,
2023-01-12,,,,,,,,,,
2023-01-13,,,,,,,,,,
2023-01-14,,,,,,,,,,
2023-01-15,,,,,,,,,,
2023-01-16,,,,,,,,,,
2023-01-17,,,,,,,,,,
2023-01-18,,,,,,,,,,
2023-01-19,,,,,,,,,,
2023-01-20,,,,,,,,,,
2023-01-21,,,,,,,,,,
2023-01-22,,,,,,,,,,
2023-01-23,,,,,,,,,,
2023-01-24,,,,,,,,,,
2023-01-25,,,,,,,,,,
2023-01-26,,,,,,,,,,
2023-01-27,,,,,,,,,,
2023-01-28,,,,,,,,,,
2023-01-29,,,,,,,,,,
2023-01-30,,,,,,,,,,
2023-01-31,,,,,,,,,,
2023-02-01,,,,,,,,,,
2023-02-02,,,,,,,,,,
2023-02-03,,,,,,,,,,
2023-02-04,,,,,,,,,,
2023-02-05,,,,,,,,,,
2023-02-06,,,,,,,,,,
2023-02-07,,,,,,,,,,
2023-02-08,,,,,,,,,,
2023-02-09,,,,,,,,,,
2023-02-10,,,,,,,,,,
2023-02-11,,,,,,,,,,
2023-02-12,02:50,1.69,15:13,1.83,08:52,6.11,21:14,5.8,07:37,17:32
2023-02-13,03:31,1.97,15:58,2.12,09:36,5.83,22:04,5.52,07:35,17:33
2023-02-14,04:25,2.26,17:01,2.4,10:34,5.51,23:14,5.29,07:33,17:35
2023-02-15,05:46,2.48,18:38,2.53,11:56,5.29,,,07:31,17:37
2023-02-16,,,,,,,,,,
2023-02-17,,,,,,,,,,
2023-02-18,,,,,,,,,,
2023-02-19,,,,,,,,,,
2023-02-20,,,,,,,,,,
2023-02-21,,,,,,,,,,
2023-02-22,,,,,,,,,,
2023-02-23,,,,,,,,,,
2023-02-24,,,,,,,,,,
2023-02-25,,,,,,,,,,
2023-02-26,03:10,1.52,15:32,1.79,09:14,6.16,21:30,5.77,07:10,17:56
2023-02-27,03:52,,16:17,,09:58,,22:19,,07:08,17:58
2023-02-28,04:47,,17:22,,10:57,,23:34,,07:06,17:59
2023-03-01,06:22,2.84,19:05,2.88,12:28,4.83,,,07:04,18:01
2023-03-02,08:07,2.74,20:32,2.64,01:18,4.91,14:06,4.95,07:02,18:03
2023-03-03,09:13,2.37,21:27,2.25,02:41,5.24,15:10,5.33,07:00,18:04
2023-03-04,09:57,1.96,22:08,1.85,03:31,5.67,15:54,5.73,06:58,18:06
2023-03-05,10:33,1.6,22:42,1.52,04:10,6.04,16:29,6.06,06:56,18:08
2023-03-06,11:04,1.32,23.12,1.26,04:43,6.33,17:01,6.31,06:53,18:09
2023-03-07,11:33,1.13,23:41,1.07,05:15,6.54,17:31,6.49,06:51,18:11
2023-03-08,12:02,0.99,,,05:44,6.68,18:01,6.6,06:49,18:13
2023-03-09,00:12,0.95,12:33,0.93,06:14,6.75,18:31,6.64,06:47,18:14
2023-03-10,00:43,0.9,13:03,0.96,06:44,6.75,19:00,6.61,06:45,18:16
2023-03-11,01:15,0.98,13:34,1.09,07:15,6.67,19:31,6.48,06:43,18:18
2023-03-12,01:48,1.16,14:07,1.32,07:47,6.48,20:05,6.26,06:41,18:19
2023-03-13,02:23,1.42,14:42,1.63,08:23,6.2,20:43,5.95,06:38,18:21
2023-03-14,03:03,1.76,15:25,2,09:06,5.83,21:32,5.58,06:36,18:23
2023-03-15,03:57,2.13,16:28,2.39,10:03,5.39,22:46,5.22,06:34,18:24
2023-03-16,05:22,2.43,18:18,2.59,11:35,5.06,,,06:32,18:26
2023-03-17,07:18,,20:02,,00:30,,13:21,,06:30,18:27
2023-03-18,08:40,,21:10,,02:02,,14:43,,06:27,18:29
2023-03-19,09:39,,22:02,,03:09,,15:40,,06:25,18:31
2023-03-20,10:27,,22:47,,04:01,,16:27,,06:23,18:32
2023-03-21,11:11,,23:27,,04:45,,17:09,,06:21,18:34
2023-03-22,11:49,,,,05:28,,17:49,,06:19,18:35
2023-03-23,00:06,,12:30,,06:08,,18:27,,06:16,18:37
2023-03-24,00:45,,13:07,,06:47,,19:04,,06:14,18:39
2023-03-25,01:23,,13:42,,07:24,,19:38,,06:12,18:40
2023-03-26,02:58,,15:16,,09:00,,21:13,,07:10,19:42
2023-03-27,03:33,,15:49,,09:36,,21:49,,07:08,19:44
2023-03-28,04:10,,16:27,,10:16,,22:33,,07:05,19:45
2023-03-29,05:00,,17:24,,11:10,,23:39,,07:03,19:47
2023-03-30,06:29,,19:15,,12:41,,,,07:01,19:48
2023-03-31,08:32,,20:58,,01:36,,14:33,,06:59,19:50
2023-04-01,09:42,,21:56,,03:06,,15:40,,06:57,19:51
2023-04-02,10:27,,22:37,,03:58,,16:23,,06:54,19:53
2023-04-03,11:02,,23:11,,04:37,,16:58,,06:52,19:55
2023-04-04,11:34,,23:42,,05:11,,17:30,,06:50,19:56
2023-04-05,12:03,,,,05:42,,18:00,,06:48,19:58
2023-04-06,00:13,,12:32,,06:14,,18:30,,06:46,19:59
2023-04-07,00:42,,13:02,,06:44,,19:01,,06:44,20:01
2023-04-08,01:16,,13:35,,07:15,,19:33,,06:41,20:03
2023-04-09,01:50,,14:09,,07:49,,20:07,,06:39,20:04
2023-04-10,02:26,,14:44,,08:25,,20:44,,06:37,20:06
2023-04-11,03:05,,15:23,,09:04,,21:26,,06:35,20:07
2023-04-12,03:51,,16:12,,09:52,,22:21,,06:33,20:09
2023-04-13,04:52,,17:24,,10:58,,23:41,,06:31,20:11
2023-04-14,06:26,,19:17,,12:34,,,,06:29,20:12
2023-04-15,08:11,,20:49,,01:23,,14:13,,06:27,20:14
2023-04-16,09:25,,21:52,,02:47,,15:26,,06:25,20:15
2023-04-17,10:19,,22:41,,03:49,,16:20,,06:23,20:17
2023-04-18,11:06,,23:25,,04:28,,17:04,,06:20,20:19
2023-04-19,11:46,,,,05:22,,17:44,,06:18,20:20
2023-04-20,00:02,,12:22,,06:03,,18:21,,06:16,20:22
2023-04-21,00:39,,12:58,,06:40,,18:58,,06:14,20:23
2023-04-22,01:17,,13:35,,07:17,,19:34,,06:12,20:25
2023-04-23,01:54,,14:10,,07:54,,20:08,,06:10,20:26
2023-04-24,02:30,,14:44,,08:29,,20:43,,06:09,20:28
2023-04-25,03:05,,15:17,,09:06,,21:20,,06:07,20:30
2023-04-26,03:43,,15:55,,09:46,,22:03,,06:05,20:31
2023-04-27,04:31,,16:48,,10:37,,23:03,,06:03,20:33
2023-04-28,05:47,,18:20,,11:54,,,,06:01,20:34
2023-04-29,07:33,,20:01,,00:37,,13:37,,05:59,20:36
2023-04-30,08:49,,21:06,,02:10,,14:48,,05:57,20:37
2023-05-01,09:40,,21:53,,03:09,,15:37,,05:55,20:39
2023-05-02,10:19,,22:32,,03:53,,16:16,,05:54,20:41
2023-05-03,10:54,,23:07,,04:30,,16:51,,05:52,20:42
2023-05-04,11:27,,23:41,,05:05,,17:24,,05:50,20:44
2023-05-05,12:00,,,,05:39,,17:58,,05:48,20:45
2023-05-06,00:15,,12:33,,06:15,,18:33,,05:47,20:47
